Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
2,1,side,18,0.011040210723876953,327,3,1

1,4,subtraction,45,53.48385429382324,241469,102087,0
2,1,center,46,0.04451632499694824,1635,2,1

1,4,num_pieces,29,74.79928922653198,312594,165722,0
2,1,subtraction,30,0.013376951217651367,810,2,1

1,4,num_pieces,30,74.9656388759613,312853,165992,0
2,1,num_pieces,31,0.013571739196777344,775,3,1

1,4,num_pieces,21,48.519944190979004,258832,100205,0
2,1,side,22,0.013635396957397461,416,3,1

1,4,num_pieces,42,68.75579285621643,383084,135542,0
2,1,center,43,0.050414323806762695,1987,2,1

1,4,side,29,63.71704316139221,418272,120696,0
2,1,subtraction,30,0.015041351318359375,886,3,1

1,4,side,30,52.466925382614136,437850,99079,0
2,1,num_pieces,31,0.013205289840698242,733,1,1

1,4,side,27,28.136240482330322,363246,49747,0
2,1,side,28,0.01875472068786621,715,3,1

1,4,side,23,40.358981132507324,259292,72389,0
2,1,center,24,0.01614069938659668,497,1,1

1,4,center,30,40.87393641471863,433027,71882,0
2,1,subtraction,31,0.013683557510375977,701,3,1

1,4,center,30,40.913527488708496,433027,71882,0
2,1,num_pieces,31,0.013926267623901367,701,3,1

1,4,center,20,19.51055645942688,238502,32188,0
2,1,side,21,0.011683940887451172,379,2,1

1,4,center,28,36.213051080703735,381673,62269,0
2,1,center,29,0.019069433212280273,690,1,1

1,4,subtraction,41,69.37577295303345,430734,149224,0
2,2,subtraction,42,0.39264655113220215,3630,2518,1

1,4,subtraction,70,77.87056565284729,641800,163784,0
2,2,num_pieces,71,0.41174936294555664,5039,3447,1

1,4,subtraction,33,55.87841796875,294662,136431,0
2,2,side,34,0.2606039047241211,6990,745,1

1,4,subtraction,26,67.01407742500305,344521,136089,0
2,2,center,27,0.345416784286499,11670,1160,1

1,4,num_pieces,64,115.90788531303406,807799,227227,0
2,2,subtraction,65,0.7556991577148438,6665,4859,1

1,4,num_pieces,56,112.26499676704407,649776,221946,0
2,2,num_pieces,57,0.5670771598815918,4714,3229,1

1,4,num_pieces,85,110.23079228401184,719423,226557,0
2,2,side,86,0.7338151931762695,19037,3482,1

1,4,num_pieces,38,101.93662452697754,521280,202585,0
2,2,center,39,0.5274677276611328,17669,1697,1

1,4,side,65,80.25397968292236,1604835,147599,1
2,2,subtraction,64,0.5594873428344727,5712,3320,0

1,4,side,43,79.52480340003967,710462,141405,0
2,2,num_pieces,44,0.33035993576049805,3157,1888,1

1,4,side,80,69.61001753807068,1506924,130481,0
2,2,side,81,0.6062476634979248,14588,3250,1

1,4,side,40,62.830183029174805,1118410,102071,0
2,2,center,41,0.838193416595459,18567,3862,1

1,4,center,49,47.12765717506409,671039,97972,1
2,2,subtraction,48,0.43366265296936035,3328,2090,0

1,4,center,30,47.49219036102295,559007,85791,0
2,2,num_pieces,31,0.1924610137939453,1556,765,1

1,4,center,43,43.29667353630066,698164,77769,0
2,2,side,44,0.49025392532348633,12187,2121,1

1,4,center,45,48.14891457557678,562612,104033,0
2,2,center,46,0.4981212615966797,14448,1760,1

1,4,subtraction,22,53.431206464767456,226383,109532,0
2,3,subtraction,23,0.6267926692962646,32939,442,1

1,4,subtraction,28,72.93236184120178,325348,152417,0
2,3,num_pieces,29,0.9393141269683838,54928,816,1

1,4,subtraction,22,70.54237174987793,225671,147374,0
2,3,side,23,1.5686266422271729,61427,699,1

1,4,subtraction,32,72.88108921051025,285982,148973,0
2,3,center,33,3.0321264266967773,97219,1592,1

1,4,num_pieces,28,68.9753589630127,272822,156042,0
2,3,subtraction,29,0.8643009662628174,42827,822,1

1,4,num_pieces,30,94.8590042591095,368830,203972,0
2,3,num_pieces,31,0.9833681583404541,56992,809,1

1,4,num_pieces,24,95.29915308952332,285571,198381,0
2,3,side,25,1.9887135028839111,77915,861,1

1,4,num_pieces,24,86.85909271240234,286798,184261,0
2,3,center,25,2.3288118839263916,86534,851,1

1,4,side,24,48.34138512611389,312733,86774,0
2,3,subtraction,25,0.7775835990905762,40634,625,1

1,4,side,29,63.806411027908325,418272,120696,0
2,3,num_pieces,30,1.0584444999694824,60854,884,1

1,4,side,30,61.595600605010986,383287,103013,0
2,3,side,31,3.6711010932922363,160226,1545,1

1,4,side,26,58.342978715896606,310774,108019,0
2,3,center,27,3.046420097351074,105677,1416,1

1,4,center,43,45.643282890319824,590215,76027,0
2,3,subtraction,44,2.6005213260650635,181166,2587,1

1,4,center,23,48.72803521156311,420805,83610,0
2,3,num_pieces,24,0.8350396156311035,42196,796,1

1,4,center,25,71.30976271629333,707754,122308,0
2,3,side,26,2.124678134918213,82303,1009,1

1,4,center,21,45.737730741500854,381128,78190,0
2,3,center,22,2.1982412338256836,82297,754,1

1,4,subtraction,26,46.481497287750244,246199,120775,1
2,4,subtraction,24,33.35419774055481,237512,79476,0

1,4,subtraction,31,118.72842311859131,480976,236804,0
2,4,num_pieces,32,59.619110107421875,430667,162354,1

1,4,subtraction,52,192.59604287147522,1136326,465852,1
2,4,side,50,72.71519804000854,1510006,156693,0

1,4,subtraction,53,129.51662826538086,955613,342605,0
2,4,center,54,96.38848733901978,2713740,216145,1

1,4,num_pieces,37,67.70706415176392,609361,185909,1
2,4,subtraction,35,49.53076529502869,384011,136736,0

1,4,num_pieces,87,179.90562963485718,1036176,410941,0
2,4,num_pieces,88,106.09102249145508,1063227,385604,1

1,4,num_pieces,69,333.86200761795044,2512113,763679,1
2,4,side,67,523.1368591785431,7097745,1385424,0

1,4,num_pieces,48,134.57553791999817,751855,324468,0
2,4,center,49,126.23833918571472,4011385,257733,1

1,4,side,28,32.42750859260559,227988,76022,1
2,4,subtraction,26,32.89838719367981,214416,72418,0

1,4,side,79,174.35962843894958,2273462,315530,0
2,4,num_pieces,80,123.54022812843323,1101604,629340,1

1,4,side,72,82.52796530723572,1193092,196574,1
2,4,side,70,82.73491287231445,1793970,236460,0

1,4,side,60,261.12495017051697,4700823,456200,0
2,4,center,61,151.79003071784973,4408711,312157,1

1,4,center,25,33.52884864807129,402936,72494,1
2,4,subtraction,23,42.56543326377869,292314,108481,0

1,4,center,37,91.40576362609863,829043,156941,0
2,4,num_pieces,38,56.96325063705444,408765,153481,1

1,4,center,27,36.04031825065613,392614,85041,1
2,4,side,25,30.81286931037903,510965,57036,0

1,4,center,49,90.14576721191406,937175,189412,0
2,4,center,50,118.34263205528259,3510613,240846,1
